,Rank,Major,Early Career Pay,Mid-Career Pay,% High Meaning
252,253,Accounts,67100,107100,44
253,253,Electromechanical Engineering,79100,107100,56
254,255,Risk Management,68500,107000,37
255,255,Social Ecology,55400,107000,-
256,257,Microbiology & Immunology,63500,106800,74
257,258,French Literature,53900,106600,50
258,259,City & Regional Planning,58600,106500,70
259,259,Construction Technology,71500,106500,-
260,259,Italian Language,56600,106500,40
261,259,Marketing Communication,52200,106500,42
262,263,Business Management & Marketing,56900,106400,45
263,263,Industrial Design (ID),62900,106400,40
264,265,Marketing & Communications,56400,106300,46
265,266,Political Science,57700,106200,47
266,267,Advertising Design,58000,106100,32
267,267,Manufacturing Management,72300,106100,48
268,269,Computer Information Systems,65100,106000,45
269,269,Network Security,68000,106000,52
270,269,Risk Management & Insurance,67400,106000,46
271,272,Comparative Literature,53600,105800,49
272,272,Sales & Marketing,61100,105800,49
273,274,Welding Engineering Technology,82700,105600,42
274,275,Philosophy,60500,105500,42
275,275,Networks & Telecommunications,61600,105500,49
276,275,Business Data Analysis,72600,105500,39
277,278,Environmental Science & Policy,56600,105400,58
278,278,German Language,59000,105400,43
279,278,Japanese Studies,58000,105400,21
280,281,Atmospheric Science,55700,105200,55
281,281,Business Psychology,58000,105200,-
282,281,Digital Design,56400,105200,39
283,281,International Development Studies,53700,105200,62
284,285,Accounting,62100,105100,41
285,286,Spanish Literature,57900,105000,49
286,286,Technical Communication,55600,105000,42
287,288,Computer Programming,67000,104800,47
288,289,Architecture,58000,104500,52
289,289,Project Management,64400,104500,56
290,291,Hotel Management,55900,104200,46
291,291,Music Production & Engineering,53400,104200,50
292,291,Urban Planning,56100,104200,53
293,294,Cell & Molecular Biology,58100,104000,67
294,294,Safety Management,67500,104000,67
295,296,Manufacturing Engineering Technology,74900,103500,50
296,297,Advertising,53500,103400,33
297,298,Marketing Management,58700,103300,40
298,298,Insurance,63400,103300,51
299,300,Occupational Therapy (OT),60700,103200,87
300,301,Applied Computer Science,74000,103000,42
301,302,Geology,56000,102800,55
302,302,Meteorology,53100,102800,55
303,304,Electronic Systems Technology (EST),86900,102600,44
304,304,Environmental Design,54000,102600,53
305,304,Radiation Therapy,76100,102600,91
306,307,Latin American Studies,53200,102500,61
307,307,Logistics,66400,102500,40
308,307,Transportation & Logistics Management,65800,102500,49
309,310,Applied Technology,65500,102300,49
310,311,Environmental Health,56900,102200,69
311,312,Design,60500,102000,39
312,313,Computer Graphics Technology (CGT),55100,101800,44
313,313,Crop Science,54700,101800,56
314,315,Industrial Psychology,56400,101500,50
315,316,Entrepreneurship,61500,101300,47
316,316,German Studies,57500,101300,46
317,316,Neuroscience,58900,101300,60
318,319,Computer & Network Administration,64500,101200,46
319,319,Financial Accounting,63500,101200,49
320,319,Food Science,60400,101200,48
321,319,Microbiology,54800,101200,69
322,323,Digital Media Design,52200,101000,28
323,323,Agronomy,55200,101000,65
324,325,Accounting & Management,62600,100600,50
325,325,Aeronautics,69600,100600,62
326,325,Business Communication,57900,100600,47
327,328,Urban & Regional Planning,59600,100500,60
328,329,Global Business Management,63800,100100,53
329,329,Police Science,61500,100100,-
330,331,Math & Science,63900,100000,64
331,332,Corporate Communications,54700,99900,45
332,333,Political Science/Public Law,59200,99800,69
333,334,Accounting Information Systems,70900,99700,56
334,334,Anthropology & English,53800,99700,-
335,334,Organizational Psychology,56400,99700,51
336,337,Advertising & Marketing Communications,54900,99200,38
337,337,Entomology,49900,99200,-
338,339,Product Design Engineering,73500,99100,41
339,340,Personal Financial Planning,60400,99000,60
340,341,Biological Sciences,56400,98900,68
341,341,Pre-law,52900,98900,50
342,343,Textile Technology,60400,98800,37
343,344,Strategic Communication,52900,98700,42
344,344,Technology,63200,98700,-
345,346,Environmental Science,55800,98600,61
346,347,International Studies,56200,98500,50
347,348,Cinema Studies,53200,98300,37
348,349,Professional & Technical Writing,54800,98200,47
349,350,Automotive Technology,55400,97800,52
350,351,New Media Design,63100,97700,28
351,351,Theatre & Drama Studies,53100,97700,50
352,351,Information Systems Security,64800,97700,47
353,354,Aviation Maintenance Technology,57300,97500,60
354,354,Organizational Development,60800,97500,55
355,356,Financial Management,62700,97400,53
356,356,International Trade & Business,61500,97400,29
357,356,Textile & Apparel Studies,53300,97400,25
358,356,Toxicology,53900,97400,-
359,360,Construction Engineering Technology,63800,97200,60
360,361,Advertising & Marketing,55200,97100,38
361,361,English Literature,53800,97100,46
362,363,Advertising & Promotion,53400,97000,46
363,364,Agricultural Science,53800,96900,55
364,364,Fashion Design,53900,96900,27
365,364,Hydrology,53400,96900,-
366,367,Technical Management,72300,96800,66
367,368,Electronics & Computer Technology,60500,96600,-
368,369,French Studies,59000,96500,58
369,369,Magazine Journalism,54300,96500,37
370,369,Management,58100,96500,49
371,369,Sociology & Organizational Studies,61400,96500,55
372,373,International Affairs,58300,96300,51
373,373,Business Administration,60200,96300,51
374,375,Finance & Marketing,67800,96200,41
375,375,Land Surveying,58200,96200,56
376,377,Journalism & Mass Communication,52800,96100,44
377,378,Business Management,58700,95900,52
378,378,Speech & Drama,45100,95900,-
379,380,Agribusiness Management,58700,95600,43
380,380,Digital Media,52000,95600,38
381,382,Drama,55600,95500,43
382,382,Linguistics,58600,95500,42
383,384,Architectural Engineering Technology,56800,95400,49
384,384,General Science,56300,95400,58
385,386,Pre-Medicine,57200,95300,69
386,387,Business Administration & Accounting,59500,95200,54
387,387,History & Politics,55300,95200,58
388,387,Nursing Science,75600,95200,84
389,390,Global Business,62000,95100,31
390,390,Integrated Marketing Communications,53500,95100,38
391,392,American History (United States),58900,94900,49
392,393,Architectural Studies,50900,94800,38
393,393,Communication,54800,94800,46
394,393,Personnel Management,57900,94800,68
395,396,General Business,56300,94700,51
