,Rank,Major,Early Career Pay,Mid-Career Pay,% High Meaning
553,554,Hospital Administration,59800,84400,53
554,554,Human Relations,51100,84400,63
555,556,Natural Resources,54200,84300,58
556,557,Ethnic Studies,54500,84200,62
557,557,Hotel & Restaurant Management,54200,84200,49
558,559,Broadcast Communication,45900,83800,45
559,559,Mass Media,45800,83800,45
560,561,Advertising & Graphic Design,53000,83700,39
561,561,Radiologic Technology,62000,83700,81
562,563,Merchandising,59300,83600,32
563,563,Romance Languages,57400,83600,55
564,565,Environmental Health Science,61500,83500,-
565,566,Criminology,50700,83400,54
566,566,Psychology,51000,83400,56
567,568,Cardiopulmonary Science,56500,83200,92
568,568,Labor Studies,53700,83200,51
569,570,Medical Laboratory Technology,64300,83000,83
570,570,Visual Communications,51200,83000,34
571,572,Audio Engineering,53800,82800,40
572,573,Middle Eastern Studies,65300,82700,47
573,573,Health,49600,82700,70
574,575,Hospitality Management,53100,82600,43
575,575,Health Care Management,51700,82600,75
576,575,Painting & Printmaking,39300,82600,46
577,578,Multimedia & Web Design,55700,82500,31
578,579,Health Administration,48700,82400,66
579,579,Natural Resource Management,52800,82400,54
580,579,Psychology & Social Behavior,51100,82400,58
581,582,Communication Management,51700,82300,45
582,582,Health Sciences,50700,82300,70
583,582,Nutrition Science,57100,82300,67
584,582,Web Design,53900,82300,29
585,586,Health Management,50400,82200,70
586,586,Life Sciences,59700,82200,60
587,588,Anthropology,53200,82100,47
588,588,Music,51000,82100,55
589,590,Ecology,53200,82000,59
590,590,Human Resources Development,55200,82000,51
591,590,SocialStudies,52700,82000,56
592,593,New Media,51600,81900,37
593,593,Psychiatry,64300,81900,50
594,595,Sociology,52800,81800,55
595,596,Health Care Administration,52100,81600,68
596,597,Interior Design,51300,81500,51
597,597,Respiratory Care,61800,81500,85
598,599,Health Information Management,55000,81300,68
599,599,Art & Design,51100,81300,39
600,601,Child Psychology,48400,81100,62
601,602,Clinical Laboratory Science,61700,81000,82
602,602,Diagnostic Medical Imaging,68300,81000,73
603,602,Humanities,55900,81000,54
604,602,Medical Laboratory Science,62700,81000,86
605,602,Theater,51200,81000,49
606,607,Kinesiology,51100,80900,66
607,608,Exercise Physiology,49100,80800,75
608,608,Forensic Accounting,51900,80800,44
